Country,Year,GDP (constant USD)
Argentina,1960,150797810295.884
Ireland,1960,24135304420.9604
Argentina,1961,158982878499.524
Ireland,1961,25345972107.1982
Argentina,1962,157628310158.567
Ireland,1962,26161211214.6145
Argentina,1963,149261089202.812
Ireland,1963,27402464994.1621
Argentina,1964,164381681831.918
Ireland,1964,28439911782.9095
Argentina,1965,181755894112.433
Ireland,1965,28989783257.4211
Argentina,1966,180556802912.311
Ireland,1966,29248688837.8198
Argentina,1967,186320169964.576
Ireland,1967,30940931474.6829
Argentina,1968,195305461613.156
Ireland,1968,33491679836.591
Argentina,1969,214210104570.482
Ireland,1969,35455583403.6133
Argentina,1970,220734180309.322
Ireland,1970,36398889587.78
Argentina,1971,233223609573.669
Ireland,1971,37661890272.6683
Argentina,1972,237021461356.448
Ireland,1972,40106073942.8644
Argentina,1973,243685921868.226
Ireland,1973,41999654074.4976
Argentina,1974,257171024124.452
Ireland,1974,43788935556.3605
Argentina,1975,257097956426.363
Ireland,1975,46265920865.655
Argentina,1976,251909073021.038
Ireland,1976,46911241300.6648
Argentina,1977,269376820356.431
Ireland,1977,50763263687.5171
Argentina,1978,257238364643.474
Ireland,1978,54411481870.5163
Argentina,1979,283535234199.299
Ireland,1979,56083566615.2554
Argentina,1980,287841521828.634
Ireland,1980,57810564481.4902
Argentina,1981,272903153784.458
Ireland,1981,59732889873.0937
Argentina,1982,270895516738.16
Ireland,1982,61096871764.2093
Argentina,1983,282677015450.457
Ireland,1983,60947611214.0593
Argentina,1984,287117132733.287
Ireland,1984,63601497258.6351
Argentina,1985,272218554792.861
Ireland,1985,65563994783.4695
Argentina,1986,288969188904.054
Ireland,1986,65283163756.6976
Argentina,1987,296785426416.393
Ireland,1987,68327377545.7082
Argentina,1988,293550663101.649
Ireland,1988,71892300157.9566
Argentina,1989,272541389928.67
Ireland,1989,76072060448.0578
Argentina,1990,265817211205.311
Ireland,1990,82512722864.4398
Argentina,1991,290094591011.844
Ireland,1991,84104920462.0281
Argentina,1992,313120244489.89
Ireland,1992,86916778951.971
Argentina,1993,338817957426.035
Ireland,1993,89257107777.5531
Argentina,1994,358592053441.545
Ireland,1994,94394592937.7644
Argentina,1995,348389357874.283
Ireland,1995,103488967205.198
Argentina,1996,367643757074.802
Ireland,1996,111126061752.057
Argentina,1997,397463514160.866
Ireland,1997,123374112131.265
Argentina,1998,412766570325.764
Ireland,1998,134189242145.411
Argentina,1999,398792535409.293
Ireland,1999,148319215004.31
Argentina,2000,395646066535.875
Ireland,2000,162266448871.098
Argentina,2001,378202665751.853
Ireland,2001,170876017042.921
Argentina,2002,336999433710.193
Ireland,2002,180956619566.626
Argentina,2003,366780211148.674
Ireland,2003,186410360281.181
Argentina,2004,399898899166.738
Ireland,2004,199064153976.926
Argentina,2005,435296589745.339
Ireland,2005,210490003157.074
Argentina,2006,470325565798.353
Ireland,2006,220988938640.086
Argentina,2007,512690850741.56
Ireland,2007,232723709494.371
Argentina,2008,533491913656.279
Ireland,2008,222288215958.446
Argentina,2009,501917060966.235
Ireland,2009,210960893742.01
Argentina,2010,552738161802.463
Ireland,2010,214511307254.188
Argentina,2011,585924294024.785
Ireland,2011,218048113700.275
Argentina,2012,579910247223.428
Ireland,2012,217178189023.252
Argentina,2013,593858966307.156
Ireland,2013,221939116603.514
Argentina,2014,578937574935.696
Ireland,2014,242659427386.766
Argentina,2015,594749285413.212
Ireland,2015,302391428540.035
Argentina,2016,582376550428.09
Ireland,2016,306088582898.588
Argentina,2017,598790850843.677
Ireland,2017,336849348481.597
Argentina,2018,583118120294.002
Ireland,2018,362262415044.573
Argentina,2019,571450737224.442
Ireland,2019,380522434249.483
Argentina,2020,514874343768.066
Ireland,2020,407759845120.691
Argentina,2021,568636554720.066
Ireland,2021,474043708510.292
Argentina,2022,598603016935.287
Ireland,2022,514903922802.965
Argentina,2023,588959512629.692
Ireland,2023,486429697970.113
