Country,Year,Control de la Corrupción,Calidad Regulatoria,Estado de Derecho
Argentina,1960,,,
Ireland,1960,,,
Argentina,1961,,,
Ireland,1961,,,
Argentina,1962,,,
Ireland,1962,,,
Argentina,1963,,,
Ireland,1963,,,
Argentina,1964,,,
Ireland,1964,,,
Argentina,1965,,,
Ireland,1965,,,
Argentina,1966,,,
Ireland,1966,,,
Argentina,1967,,,
Ireland,1967,,,
Argentina,1968,,,
Ireland,1968,,,
Argentina,1969,,,
Ireland,1969,,,
Argentina,1970,,,
Ireland,1970,,,
Argentina,1971,,,
Ireland,1971,,,
Argentina,1972,,,
Ireland,1972,,,
Argentina,1973,,,
Ireland,1973,,,
Argentina,1974,,,
Ireland,1974,,,
Argentina,1975,,,
Ireland,1975,,,
Argentina,1976,,,
Ireland,1976,,,
Argentina,1977,,,
Ireland,1977,,,
Argentina,1978,,,
Ireland,1978,,,
Argentina,1979,,,
Ireland,1979,,,
Argentina,1980,,,
Ireland,1980,,,
Argentina,1981,,,
Ireland,1981,,,
Argentina,1982,,,
Ireland,1982,,,
Argentina,1983,,,
Ireland,1983,,,
Argentina,1984,,,
Ireland,1984,,,
Argentina,1985,,,
Ireland,1985,,,
Argentina,1986,,,
Ireland,1986,,,
Argentina,1987,,,
Ireland,1987,,,
Argentina,1988,,,
Ireland,1988,,,
Argentina,1989,,,
Ireland,1989,,,
Argentina,1990,,,
Ireland,1990,,,
Argentina,1991,,,
Ireland,1991,,,
Argentina,1992,,,
Ireland,1992,,,
Argentina,1993,,,
Ireland,1993,,,
Argentina,1994,,,
Ireland,1994,,,
Argentina,1995,,,
Ireland,1995,,,
Argentina,1996,-0.101317152380943,0.518067419528961,0.0755526423454285
Ireland,1996,1.70890808105469,1.51272976398468,1.50104010105133
Argentina,1997,,,
Ireland,1997,,,
Argentina,1998,-0.20348159968853,0.521346211433411,-0.0388815775513649
Ireland,1998,1.54505217075348,1.63800525665283,1.59148979187012
Argentina,1999,,,
Ireland,1999,,,
Argentina,2000,-0.172407656908035,0.182292386889458,-0.214404493570328
Ireland,2000,1.38453423976898,1.78177714347839,1.53968262672424
Argentina,2001,,,
Ireland,2001,,,
Argentina,2002,-0.417055726051331,-0.880716562271118,-0.761098086833954
Ireland,2002,1.36862599849701,1.71949744224548,1.5953254699707
Argentina,2003,-0.479976803064346,-0.691475629806519,-0.777115821838379
Ireland,2003,1.41381525993347,1.5846620798111,1.48246681690216
Argentina,2004,-0.414409548044205,-0.698035299777985,-0.767380177974701
Ireland,2004,1.27040612697601,1.56711328029633,1.51067984104156
Argentina,2005,-0.377738356590271,-0.525074362754822,-0.557991087436676
Ireland,2005,1.58444654941559,1.48796188831329,1.58428418636322
Argentina,2006,-0.33123853802681,-0.61456698179245,-0.57701563835144
Ireland,2006,1.70114398002625,1.83704507350922,1.70889830589294
Argentina,2007,-0.372122079133987,-0.635693550109863,-0.60147225856781
Ireland,2007,1.7392373085022,1.85081696510315,1.72822141647339
Argentina,2008,-0.434875011444092,-0.702629446983337,-0.699731647968292
Ireland,2008,1.73599350452423,1.91425919532776,1.70412838459015
Argentina,2009,-0.445475101470947,-0.830836772918701,-0.694468080997467
Ireland,2009,1.75030028820038,1.69592678546906,1.74309933185577
Argentina,2010,-0.355230033397675,-0.742940902709961,-0.59809422492981
Ireland,2010,1.68115770816803,1.61843299865723,1.76081323623657
Argentina,2011,-0.364098519086838,-0.701964378356934,-0.563123285770416
Ireland,2011,1.55607664585114,1.59480214118958,1.74646854400635
Argentina,2012,-0.445909202098846,-0.897686779499054,-0.623034238815308
Ireland,2012,1.45570015907288,1.56388533115387,1.7272036075592
Argentina,2013,-0.434306710958481,-0.928134799003601,-0.656328618526459
Ireland,2013,1.64604413509369,1.57406163215637,1.70915448665619
Argentina,2014,-0.549791395664215,-1.0661495923996,-0.866627335548401
Ireland,2014,1.69225120544434,1.75873184204102,1.76058638095856
Argentina,2015,-0.581265270709991,-0.898022353649139,-0.74863588809967
Ireland,2015,1.67364001274109,1.80811500549316,1.72836124897003
Argentina,2016,-0.299235552549362,-0.347571164369583,-0.320159524679184
Ireland,2016,1.64945268630981,1.72934794425964,1.46621227264404
Argentina,2017,-0.309002459049225,-0.196430206298828,-0.237312033772469
Ireland,2017,1.52960228919983,1.57530915737152,1.38122129440308
Argentina,2018,-0.0992739275097847,-0.195977628231049,-0.219330430030823
Ireland,2018,1.5349406003952,1.61936497688293,1.41250944137573
Argentina,2019,-0.107116244733334,-0.453079700469971,-0.427360445261002
Ireland,2019,1.4588143825531,1.59087955951691,1.34828162193298
Argentina,2020,-0.163570061326027,-0.498344272375107,-0.486265957355499
Ireland,2020,1.53512811660767,1.4674471616745,1.45630073547363
Argentina,2021,-0.422596842050552,-0.631172716617584,-0.477947890758514
Ireland,2021,1.61938548088074,1.55254113674164,1.49300801753998
Argentina,2022,-0.447221606969833,-0.697565734386444,-0.482351809740067
Ireland,2022,1.67441475391388,1.63956081867218,1.52677750587463
Argentina,2023,-0.360883951187134,-0.482535392045975,-0.410826534032822
Ireland,2023,1.5752888917923,1.74936389923096,1.63358354568481
