IndicatorId	IndicatorName	IndicatorShortName	Source	SourceYear	Author	LocationId	Location	Iso2	Iso3	TimeId	Time	VariantId	Variant	SexId	Sex	AgeId	AgeStart	AgeEnd	Age	CategoryId	Category	EstimateTypeId	EstimateType	EstimateMethodId	EstimateMethod	Value
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	1	"1950"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	17018036.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	2	"1951"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	17356467
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	3	"1952"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	17698877.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	4	"1953"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	18041301.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	5	"1954"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	18381212.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	6	"1955"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	18716028.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	7	"1956"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	19049964.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	8	"1957"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	19383034.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	9	"1958"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	19714253.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	10	"1959"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	20049609.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	11	"1960"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	20386045
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	12	"1961"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	20726276
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	13	"1962"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	21072538.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	14	"1963"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	21421705
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	15	"1964"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	21769453.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	16	"1965"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	22112629.5
49	"Total population by sex"	"Total population by sex"	"World Population Prospects"	2024	"United Nations Population Division"	32	"Argentina"	"AR"	"ARG"	17	"1966"	4	"Median"	3	"Both sexes"	188	0	-1	"Total"	0	"Not applicable"	1	"Model-based Estimates"	2	"Interpolation"	22453892.5
