CT,Instmu,Instsigma,Total_Patents
0.001,0.005,0.005,6
0.001,0.005,0.006,4
0.001,0.005,0.006999999999999999,8
0.001,0.005,0.008,3
0.001,0.005,0.009,4
0.001,0.005,0.009999999999999998,5
0.001,0.005,0.011,6
0.001,0.005,0.011999999999999999,6
0.001,0.005,0.012999999999999998,3
0.001,0.005,0.013999999999999999,3
0.001,0.005,0.015,6
0.001,0.006,0.005,10
0.001,0.006,0.006,6
0.001,0.006,0.006999999999999999,3
0.001,0.006,0.008,3
0.001,0.006,0.009,4
0.001,0.006,0.009999999999999998,1
0.001,0.006,0.011,6
0.001,0.006,0.011999999999999999,7
0.001,0.006,0.012999999999999998,4
0.001,0.006,0.013999999999999999,3
0.001,0.006,0.015,2
0.001,0.006999999999999999,0.005,6
0.001,0.006999999999999999,0.006,7
0.001,0.006999999999999999,0.006999999999999999,5
0.001,0.006999999999999999,0.008,5
0.001,0.006999999999999999,0.009,4
0.001,0.006999999999999999,0.009999999999999998,8
0.001,0.006999999999999999,0.011,3
0.001,0.006999999999999999,0.011999999999999999,9
0.001,0.006999999999999999,0.012999999999999998,4
0.001,0.006999999999999999,0.013999999999999999,4
0.001,0.006999999999999999,0.015,1
0.001,0.008,0.005,4
0.001,0.008,0.006,4
0.001,0.008,0.006999999999999999,5
0.001,0.008,0.008,7
0.001,0.008,0.009,1
0.001,0.008,0.009999999999999998,6
0.001,0.008,0.011,2
0.001,0.008,0.011999999999999999,3
0.001,0.008,0.012999999999999998,3
0.001,0.008,0.013999999999999999,3
0.001,0.008,0.015,3
0.001,0.009,0.005,3
0.001,0.009,0.006,3
0.001,0.009,0.006999999999999999,5
0.001,0.009,0.008,9
0.001,0.009,0.009,6
0.001,0.009,0.009999999999999998,4
0.001,0.009,0.011,4
0.001,0.009,0.011999999999999999,7
0.001,0.009,0.012999999999999998,5
0.001,0.009,0.013999999999999999,4
0.001,0.009,0.015,12
0.001,0.009999999999999998,0.005,2
0.001,0.009999999999999998,0.006,5
0.001,0.009999999999999998,0.006999999999999999,4
0.001,0.009999999999999998,0.008,5
0.001,0.009999999999999998,0.009,7
0.001,0.009999999999999998,0.009999999999999998,8
0.001,0.009999999999999998,0.011,3
0.001,0.009999999999999998,0.011999999999999999,4
0.001,0.009999999999999998,0.012999999999999998,4
0.001,0.009999999999999998,0.013999999999999999,7
0.001,0.009999999999999998,0.015,7
0.001,0.011,0.005,5
0.001,0.011,0.006,5
0.001,0.011,0.006999999999999999,4
0.001,0.011,0.008,4
0.001,0.011,0.009,11
0.001,0.011,0.009999999999999998,6
0.001,0.011,0.011,5
0.001,0.011,0.011999999999999999,5
0.001,0.011,0.012999999999999998,8
0.001,0.011,0.013999999999999999,5
0.001,0.011,0.015,1
0.001,0.011999999999999999,0.005,7
0.001,0.011999999999999999,0.006,5
0.001,0.011999999999999999,0.006999999999999999,5
0.001,0.011999999999999999,0.008,1
0.001,0.011999999999999999,0.009,3
0.001,0.011999999999999999,0.009999999999999998,6
0.001,0.011999999999999999,0.011,6
0.001,0.011999999999999999,0.011999999999999999,3
