"ReporterISO3","ReporterName","Year","Exports (% of GDP)","Exports G&S (Current USD)","Imports (% of GDP)","Imports G&S (Current USD)","Trade Balance (% of GDP)","Trade Balance G&S (Current USD)"
"ALB","Albania",1988,16.9794,348287488,19.9185,408575008,-2.9391,-60287520
"ALB","Albania",1989,18.5934,418924992,21.4727,483800000,-2.8794,-64875008
"ALB","Albania",1990,15.4051,312500000,24.0319,487500000,-8.6268,-1.75e+08
"ALB","Albania",1991,7.4848,82300000,28.5857,314316672,-21.1009,-232016672
"ALB","Albania",1992,12.4996,81519208,96.2859,627952448,-83.7863,-546433216
"ALB","Albania",1993,15.9788,189399536,64.5395,764996736,-48.5607,-575597184
"ALB","Albania",1994,11.9837,225407408,41.1189,773426112,-29.1352,-548018688
"ALB","Albania",1995,12.6408,302465312,34.9698,836744256,-22.3289,-534278944
"ALB","Albania",1996,11.6203,371808928,33.2751,1064684032,-21.6548,-692875136
"ALB","Albania",1997,10.1971,230303552,35.2284,795638976,-25.0313,-565335424
"ALB","Albania",1998,11.4672,291949984,36.6704,933614592,-25.2032,-641664640
"ALB","Albania",1999,16.8418,540977920,34.1693,1097558400,-17.3275,-556580480
"ALB","Albania",2000,20.1153,700083392,43.3388,1508343808,-23.2235,-808260416
"ALB","Albania",2001,21.3334,836717888,45.1576,1771127168,-23.8242,-934409280
"ALB","Albania",2002,20.9456,910729664,47.5795,2068787072,-26.6338,-1158057472
"ALB","Albania",2003,20.8474,1169850368,46.1732,2591005952,-25.3258,-1421155584
"ALB","Albania",2004,22.2176,1596261888,44.8296,3220867840,-22.6121,-1624605952
"ALB","Albania",2005,23.013,1853023872,47.8594,3853672192,-24.8464,-2000648320
"ALB","Albania",2006,25.2096,2242665728,49.0575,4364190208,-23.8479,-2121524480
"ALB","Albania",2007,28.2479,3016116480,54.9542,5867639808,-26.7064,-2851523328
"ALB","Albania",2008,25.3024,3259293696,52.1493,6717539840,-26.8469,-3458246144
"ALB","Albania",2009,25.2407,3040047616,49.8542,6004538368,-24.6134,-2964490752
"ALB","Albania",2010,27.9794,3337086720,48.564,5792187392,-20.5845,-2455100672
"ALB","Albania",2011,29.2415,3769456384,51.977,6700234752,-22.7355,-2930778368
"ALB","Albania",2012,28.9375,3565050624,47.5727,5860879360,-18.6352,-2295828736
"ALB","Albania",2013,28.9163,3694413312,46.9574,5999382528,-18.0411,-2304969216
"ALB","Albania",2014,28.213,3732057344,47.1948,6243003392,-18.9818,-2510946048
"ALB","Albania",2015,27.2674,3104897792,44.5336,5070977536,-17.2662,-1966079744
"ALB","Albania",2016,28.9779,3437126400,45.832,5436220928,-16.8541,-1999094528
"ALB","Albania",2017,31.5698,4110301184,46.6245,6070375936,-15.0547,-1960074752
"ALB","Albania",2018,31.572,4785179136,45.2362,6856194560,-13.6643,-2071015424
"ALB","Albania",2019,31.3043,4821429248,44.9749,6926959616,-13.6707,-2105530368
"ALB","Albania",2020,22.6578,3435540480,37.1719,5636282368,-14.5142,-2200741888
"ALB","Albania",2021,31.3092,5613909504,44.7088,8016544256,-13.3997,-2402634752
