Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1978,Export,6,7404968.842
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1978,Gross Exp.,2,7404968.842
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1978,Gross Imp.,1,10946417.46
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1978,Import,5,10946417.46
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1979,Export,6,9549088.152
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1979,Gross Exp.,2,9549088.152
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1979,Gross Imp.,1,13763063.97
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1979,Import,5,13763063.97
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1980,Export,6,10974274.79
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1980,Gross Exp.,2,10974274.79
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1980,Gross Imp.,1,16040311.14
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1980,Import,5,16040311.14
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1981,Export,6,9337344.071
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1981,Gross Exp.,2,9337344.071
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1981,Gross Imp.,1,13161028.94
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1981,Import,5,13161028.94
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1982,Export,6,9116569.075
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1982,Gross Exp.,2,9116569.075
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1982,Gross Imp.,1,12696388.13
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1982,Import,5,12696388.13
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1983,Export,6,9107960.871
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1983,Gross Exp.,2,9107960.871
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1983,Gross Imp.,1,12996813.82
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1983,Import,5,12996813.82
