"ReporterISO3","ReporterName","Year","Exports (% of GDP)","Exports G&S (Current USD)","Imports (% of GDP)","Imports G&S (Current USD)","Trade Balance (% of GDP)","Trade Balance G&S (Current USD)"
"AUT","Austria",1988,33.0709,44096573440,33.4916,44657528832,-0.4207,-560955392
"AUT","Austria",1989,35.0152,46607265792,35.5232,47283384320,-0.508,-676118528
"AUT","Austria",1990,35.6974,59423125504,35.791,59578834944,-0.0935,-155709440
"AUT","Austria",1991,34.5905,60116254720,35.4579,61623795712,-0.8674,-1507540992
"AUT","Austria",1992,33.1553,64678674432,34.4749,67252989952,-1.3196,-2574315520
"AUT","Austria",1993,31.4639,59900882944,31.8012,60542947328,-0.3373,-642064384
"AUT","Austria",1994,32.1585,65453948928,33.8286,68853039104,-1.67,-3399090176
"AUT","Austria",1995,33.5331,80827703296,34.7235,83696836608,-1.1903,-2869133312
"AUT","Austria",1996,34.2493,81256734720,35.8344,85017444352,-1.5851,-3760709632
"AUT","Austria",1997,37.0281,78792187904,37.8396,80519028736,-0.8115,-1726840832
"AUT","Austria",1998,38.351,83704905728,38.5761,84196220928,-0.2251,-491315200
"AUT","Austria",1999,39.357,85506768896,38.9031,84520550400,0.4539,986218496
"AUT","Austria",2000,43.3463,85517705216,42.0142,82889703424,1.3321,2628001792
"AUT","Austria",2001,44.6176,88123588608,42.9191,84769005568,1.6984,3354583040
"AUT","Austria",2002,45.3194,97162436608,41.6288,89249972224,3.6906,7912464384
"AUT","Austria",2003,44.5704,116896448512,41.817,109674881024,2.7534,7221567488
"AUT","Austria",2004,46.8672,141284769792,43.9251,132415627264,2.9421,8869142528
"AUT","Austria",2005,48.6198,153683279872,45.4141,143550316544,3.2057,10132963328
"AUT","Austria",2006,50.8417,170970398720,47.2466,158881038336,3.595,12089360384
"AUT","Austria",2007,52.5609,204559319040,48.1724,187479965696,4.3885,17079353344
"AUT","Austria",2008,53.2489,230062735360,48.8248,210948587520,4.424,19114147840
"AUT","Austria",2009,45.2074,181624750080,41.8548,168155365376,3.3526,13469384704
"AUT","Austria",2010,51.2622,201088696320,47.7576,187341324288,3.5045,13747372032
"AUT","Austria",2011,53.9487,232888434688,51.1541,220824764416,2.7946,12063670272
"AUT","Austria",2012,53.9737,220969205760,51.1785,209525719040,2.7952,11443486720
"AUT","Austria",2013,53.4413,229899616256,50.6251,217784696832,2.8162,12114919424
"AUT","Austria",2014,53.3866,236280889344,50.117,221810032640,3.2696,14470856704
"AUT","Austria",2015,53.0891,202784899072,49.3383,188457893888,3.7508,14327005184
"AUT","Austria",2016,52.4064,207444082688,48.5757,192280707072,3.8307,15163375616
"AUT","Austria",2017,54.0512,225534459904,50.8877,212334575616,3.1635,13199884288
"AUT","Austria",2018,55.4622,252348203008,52.4614,238694825984,3.0008,13653377024
"AUT","Austria",2019,55.7572,247908352000,52.1288,231775649792,3.6284,16132702208
"AUT","Austria",2020,51.6128,224631996416,48.6108,211566542848,3.002,13065453568
"AUT","Austria",2021,55.9003,268527419392,55.322,265749331968,0.5783,2778087424
"AUT","Austria",2022,60.7891,286559961088,59.3391,279724654592,1.45,6835306496
"BEL","Belgium",1988,59.4081,96418783232,57.0149,92534611968,2.3932,3884171264
"BEL","Belgium",1989,63.5667,104389984256,61.3702,100782768128,2.1966,3607216128
"BEL","Belgium",1990,61.6137,126512472064,59.8542,122899595264,1.7595,3612876800
"BEL","Belgium",1991,60.2297,126790049792,58.3605,122855235584,1.8692,3934814208
"BEL","Belgium",1992,58.8089,138072571904,56.2604,132088995840,2.5486,5983576064
"BEL","Belgium",1993,56.1077,126086324224,52.905,118889054208,3.2027,7197270016
"BEL","Belgium",1994,58.425,143073460224,54.8073,134214475776,3.6176,8858984448
"BEL","Belgium",1995,60.1144,173144768512,56.2642,162055274496,3.8502,11089494016
"BEL","Belgium",1996,61.1924,170850025472,58.0204,161993752576,3.172,8856272896
"BEL","Belgium",1997,64.7866,163720904704,60.9024,153905168384,3.8842,9815736320
"BEL","Belgium",1998,64.1743,165908873216,60.5348,156499558400,3.6396,9409314816
"BEL","Belgium",1999,64.5631,166731350016,60.6069,156514811904,3.9561,10216538112
"BEL","Belgium",2000,72.5474,171786764288,69.6827,165003476992,2.8647,6783287296
"BEL","Belgium",2001,71.612,169538551808,67.9649,160904232960,3.6471,8634318848
"BEL","Belgium",2002,70.8313,183016456192,65.2539,168605253632,5.5774,14411202560
"BEL","Belgium",2003,69.0365,219593064448,63.679,202551918592,5.3575,17041145856
"BEL","Belgium",2004,70.9063,261796413440,66.0121,243726483456,4.8941,18069929984
"BEL","Belgium",2005,74.2828,286519853056,70.2462,270950039552,4.0366,15569813504
"BEL","Belgium",2006,76.805,313563971584,72.7625,297060106240,4.0425,16503865344
"BEL","Belgium",2007,78.3018,368740532224,74.1666,349267165184,4.1352,19473367040
"BEL","Belgium",2008,80.8806,418418163712,80.2078,414937612288,0.6728,3480551424
"BEL","Belgium",2009,68.834,332643205120,66.572,321712160768,2.262,10931044352
"BEL","Belgium",2010,75.8501,365158039552,74.1476,356962074624,1.7025,8195964928
"BEL","Belgium",2011,80.6974,422313787392,80.7964,422831882240,-0.099,-518094848
"BEL","Belgium",2012,80.4045,398929199104,80.3415,398616854528,0.063,312344576
"BEL","Belgium",2013,79.3243,413907320832,78.5265,409744211968,0.7979,4163108864
"BEL","Belgium",2014,79.801,427246780416,78.9822,422862979072,0.8188,4383801344
"BEL","Belgium",2015,77.8053,359721500672,76.3873,353165508608,1.418,6555992064
"BEL","Belgium",2016,79.4296,378134822912,78.2354,372449640448,1.1942,5685182464
"BEL","Belgium",2017,83.1824,418211823616,82.1434,412988178432,1.039,5223645184
"BEL","Belgium",2018,83.0796,451370844160,83.4152,453193760768,-0.3355,-1822916608
"BEL","Belgium",2019,82.3972,441538314240,81.7691,438172286976,0.6282,3366027264
"BEL","Belgium",2020,79.4465,417263648768,77.7338,408268046336,1.7128,8995602432
"BEL","Belgium",2021,86.8267,516056449024,85.7757,509809688576,1.051,6246760448
"BEL","Belgium",2022,95.3285,551574437888,97.7458,565560934400,-2.4173,-13986496512
"BGR","Bulgaria",1988,45.5657,10277765120,45.8961,10352293888,-0.3304,-74528768
"BGR","Bulgaria",1989,46.4206,10207166464,48.1584,10589278208,-1.7378,-382111744
"BGR","Bulgaria",1990,33.1192,6833181696,36.7279,7577727488,-3.6087,-744545792
"BGR","Bulgaria",1991,43.4783,4758064640,39.2041,4290322688,4.2741,467741952
